ICAO,NOTAM No,Q Code,From,To,Schedule,Text,Lower Limit,Upper Limit,Created Time,Farsi
OIII,A5071/24,OIIX/QMPLC/IV/BO/A/000/999/,2412240531,2501131000 EST,,STAND NR 207 AND 208 CLSD DUE TO CONST WORK. CREATED: 24 Dec 2024 05:31:00 SOURCE: OIIIYNYX,,,24 Dec 2024 05:31:00,
OIII,A5070/24,OIIX/QFTAS/I/B/A/000/999/,2412240205,2412241500 EST,,"REF AIP PAGE GEN 3.5-11, RVR RWY 29 U/S. CREATED: 24 Dec 2024 02:05:00 SOURCE: OIIIYNYX",,,24 Dec 2024 02:05:00,
OIFK,A0253/22,OIIX/QMRXX/IV/NBO/A /000/999/3354N05135E005,2201181630,PERM,,10 CM DIFFERENCE SURFACE EXIST BTN RWY 11/29 AND SHOULDER. CREATED: 05 Aug 2024 07:40:00 SOURCE: EUECYIYN,,,05 Aug 2024 07:40:00,
OIIX,A4369/24,OIIX/QAFXX/E/000/999/,2411031501,2412290230,1430-0230,"THE FLW TEMPO TOS WI TEHRAN OIIX FIR AVBL FOR FLT FM ANKARA LTAA FIR TO UNITED ARAB EMIRATES OMAE FIR: - BONAM DCT NSH DVOR/DME L333 LABET Y8 SRJ VOR/DME L430 TAVNO M324 PATAT, - AGINA P146 RST DVOR/DME L333 LABET Y8 SRJ VOR/DME L430 TAVNO M324 PATAT. CREATED: 03 Nov 2024 15:06:00 SOURCE: OIIIYNYX",,,03 Nov 2024 15:06:00,
OIIX,A4535/24,OIIX/QWMLW/IV/BO/W/000/180/,2411160825,2501161630,"EV TUE, WED AND THU / 1330-1630",GUN FIRING WILL TAKE PLACE WI AREA: 352500N 0465100E 352500N 0470000E 351500N 0465100E 352000N 0464500E TO THE POINT OF ORIGIN. DRG ACT MNM SAFE LVL ON AWY M434/Z740 BTN ASLAX AND NOLTO RASIED TO FL190.,GND,18000,16 Nov 2024 08:24:00,
OIIX,A4533/24,OIIX/QWMLW/IV/BO/W/000/200/,2411160758,2501191930,0330-1930,GUN FIRING WILL TAKE PLACE WI AREA: 314529N 0604632E 313656N 0604632E 313656N 0604036E 314529N 0604036E TO THE POINT OF ORIGIN.,GND,20000,16 Nov 2024 08:00:00,
OIIX,A4525/24,OIIX/QWMLW/IV/BO/W/000/120/,2411160706,2501150630,EV WED / 0330-0630,GUN FIRING WILL TAKE PLACE WI AREA : 332400N 0475900E 332200N 0480300E 332100N 0480200E 332300N 0475800E TO THE POINT OF ORIGIN.,GND,12000,16 Nov 2024 07:08:00,
OIIX,A4461/24,OIIX/QAFXX/E/000/999/,2411110718,2502092030 EST,,AIRSPACE SAFETY AND SECURITY WARNING: OPERATORS ARE ADVISED NOT TO ENTER KHARTOUM FIR WITHIN THE AIRSPACE OF SUDAN. POTENTIAL RISK FM ANTI-AIRCRAFT WEAPONRY AND HEIGHTENED MILITARY ACTIVITY. CONTACT DANASS OF IRAN CAA +982166078718 AND ANS?CAA.GOV.IR FOR FURTHER DETAILS. CHECK HTTPS://WWW.ICAO.INT/MID/PAGES/FIR/KHARTOUM-FIR-CONTINGENCY-PLAN.ASPX FOR CONTINGENCY ROUTING PROCEDURE. CREATED: 11 Nov 2024 07:18:00 SOURCE: OIIIYNYX,,,11 Nov 2024 07:18:00,
OIIX,A4460/24,OIIX/QAFXX/E/000/999/,2411110717,2502092030 EST,,"AIRSPACE SECURITY WARNING ISSUED BY IRAN CAA IN RESPONSE TO THE VOLATILE SECURITY SITUATION IN UKRAINE. POTENTIAL RISK FM HEIGHTENED MILITARY ACTIVITY AND DEDICATED ANTI-AVIATION WEAPONRY IN THE EAST OF UKRAINE, AND THREAT POSED BY MISCALCULATION AND MISCOMMUNICATION. IRANIAN REGISTERED AIR OPERATORS ARE ADVISED TO TAKE ALL POTENTIAL RISK INTO ACCOUNT IN RISK ASSESSMENT AND FLT PLANNING DECISIONS WHEN OPERATING IN THE FLW FLIGHT INFORMATION REGIONS (FI",GND,UNL,11 Nov 2024 07:17:00,
OIIX,A4459/24,OIIX/QAFXX/E/000/999/,2411110715,2502092030 EST,,AIRSPACE SAFETY AND SECURITY WARNING: HAZARDOUS SITUATION WITHIN THE TERRITORY AND AIRSPACE OF KABUL FIR(OAK,,,11 Nov 2024 07:16:00,
